vulnerabilityId,versionKey
GHSA-5fw9-fq32-wv5p,node-notifier@5.0.0
GHSA-2pr6-76vf-7546,js-yaml@3.0.0
GHSA-52cp-r559-cp3m,js-yaml@3.0.0
GHSA-8j8c-7jfh-h6hx,js-yaml@3.0.0
GHSA-29mw-wpgm-hmr9,lodash@4.0.0
GHSA-35jh-r3h4-6jhm,lodash@4.0.0
GHSA-35jh-r3h4-6jhm,lodash@3.0.0
GHSA-35jh-r3h4-6jhm,lodash@1.0.0
GHSA-35jh-r3h4-6jhm,lodash@2.4.2
GHSA-35jh-r3h4-6jhm,lodash@2.0.0
GHSA-35jh-r3h4-6jhm,lodash@0.1.0
GHSA-35jh-r3h4-6jhm,lodash.template@4.0.0
GHSA-4xc9-xhrj-v574,lodash@4.0.0
GHSA-4xc9-xhrj-v574,lodash@3.0.0
GHSA-4xc9-xhrj-v574,lodash@1.0.0
GHSA-4xc9-xhrj-v574,lodash@2.4.2
GHSA-4xc9-xhrj-v574,lodash@2.0.0
GHSA-4xc9-xhrj-v574,lodash@0.1.0
GHSA-f23m-r3pf-42rh,lodash@4.0.0
GHSA-f23m-r3pf-42rh,lodash@3.0.0
GHSA-f23m-r3pf-42rh,lodash@1.0.0
GHSA-f23m-r3pf-42rh,lodash@2.4.2
GHSA-f23m-r3pf-42rh,lodash@2.0.0
GHSA-f23m-r3pf-42rh,lodash@0.1.0
GHSA-hj48-42vr-x3v9,path-parse@1.0.0
GHSA-67hx-6x53-jw92,babel-traverse@6.0.2
GHSA-2cf5-4w76-r9qv,handlebars@4.0.0
GHSA-2qvq-rjwj-gvw9,handlebars@4.0.0
GHSA-2w6w-674q-4c4q,handlebars@4.0.0
GHSA-3cqr-58rm-57f8,handlebars@4.0.0
GHSA-v2p6-4mp7-3r9v,underscore.string@2.0.0
GHSA-8r6j-v8pm-fqw3,fsevents@1.0.0
GHSA-8r6j-v8pm-fqw3,fsevents@0.1.1
MAL-2023-462,fsevents@1.0.0
GHSA-23hp-3jrh-7fpw,tar@3.2.3
GHSA-23hp-3jrh-7fpw,tar@0.0.1
GHSA-23hp-3jrh-7fpw,tar@2.0.0
GHSA-34x7-hfp2-rc4v,tar@3.2.3
GHSA-34x7-hfp2-rc4v,tar@0.0.1
GHSA-34x7-hfp2-rc4v,tar@2.0.0
GHSA-3jfq-g458-7qm9,tar@0.0.1
GHSA-3jfq-g458-7qm9,tar@2.0.0
GHSA-7wpw-2hjm-89gp,merge@1.0.0
GHSA-f9cm-qmx5-m98h,merge@1.0.0
GHSA-qh2h-chj9-jffq,growl@1.5.0
GHSA-5726-g6r9-5f22,syntax-error@0.0.0
GHSA-5726-g6r9-5f22,syntax-error@1.0.0
GHSA-4gmj-3p3h-gm8h,es5-ext@0.10.11
GHSA-4rq4-32rv-6wp6,shelljs@0.0.1
GHSA-64g7-mvw6-v9qj,shelljs@0.0.1
GHSA-4hpf-3wq7-5rpr,is-my-json-valid@2.0.0
GHSA-f522-ffg8-j8r6,is-my-json-valid@2.0.0
GHSA-282f-qqgm-c34q,jsonpointer@1.0.0
GHSA-ww39-953v-wcq6,glob-parent@5.0.0
GHSA-2g4f-4pwh-qvx6,ajv@4.0.0
GHSA-2g4f-4pwh-qvx6,ajv@6.0.0
GHSA-2g4f-4pwh-qvx6,ajv@5.0.0
GHSA-v88g-cgmw-v5xw,ajv@4.0.0
GHSA-v88g-cgmw-v5xw,ajv@6.0.0
GHSA-v88g-cgmw-v5xw,ajv@5.0.0
GHSA-52f5-9888-hmc6,tmp@0.0.1
GHSA-ph9p-34f9-6g65,tmp@0.0.1
GHSA-qrmc-fj45-qfc2,extend@3.0.0
GHSA-95m3-7q98-8xr5,sha.js@2.0.0
GHSA-3xgq-45jj-v275,cross-spawn@4.0.0
GHSA-3xgq-45jj-v275,cross-spawn@5.0.0
GHSA-566m-qj78-rww5,postcss@8.0.0
GHSA-566m-qj78-rww5,postcss@6.0.5
GHSA-566m-qj78-rww5,postcss@6.0.0
GHSA-566m-qj78-rww5,postcss@7.0.0
GHSA-6g55-p6wh-862q,postcss@6.0.5
GHSA-6g55-p6wh-862q,postcss@6.0.0
GHSA-6g55-p6wh-862q,postcss@8.0.0
GHSA-6g55-p6wh-862q,postcss@7.0.0
GHSA-7fh5-64p2-3v2j,postcss@6.0.5
GHSA-7fh5-64p2-3v2j,postcss@6.0.0
GHSA-7fh5-64p2-3v2j,postcss@8.0.0
GHSA-7fh5-64p2-3v2j,postcss@7.0.0
GHSA-fxqj-rqcc-2cmp,postcss@6.0.5
GHSA-fxqj-rqcc-2cmp,postcss@6.0.0
GHSA-fxqj-rqcc-2cmp,postcss@8.0.0
GHSA-fxqj-rqcc-2cmp,postcss@7.0.0
GHSA-w8qv-6jwh-64r5,browserslist@4.0.0
GHSA-48c2-rrv3-qjmp,yaml@1.0.0
GHSA-29gp-92wp-94q8,react-dev-utils@1.0.0
GHSA-5q6m-3h65-w53x,react-dev-utils@1.0.0
GHSA-395f-4hp3-45gv,shell-quote@1.0.0
GHSA-qg8p-v9q4-gh34,shell-quote@1.0.0
GHSA-4v9v-hfq4-rm2v,webpack-dev-server@2.2.0
GHSA-79cf-xcqc-c78w,webpack-dev-server@2.2.0
GHSA-9jgg-88mc-972h,webpack-dev-server@2.2.0
GHSA-cf66-xwfp-gvc4,webpack-dev-server@2.2.0
GHSA-c9g6-9335-x697,sockjs@0.0.1
GHSA-hh8v-jmh3-9437,sockjs@0.0.1
GHSA-pfq8-rq6v-vf5m,html-minifier@0.4.3
GHSA-6h5x-7c5m-7cr7,eventsource@0.0.1
GHSA-7mc5-chhp-fmc3,negotiator@0.1.0
GHSA-2pqj-h3vj-pqgw,jquery@1.5.1
GHSA-579v-mp3v-rrw5,jquery@1.5.1
GHSA-6c3j-c64m-qhgq,jquery@1.5.1
GHSA-c3x7-gjmx-r2ff,serve-static@1.0.0
GHSA-cm22-4g7w-348p,serve-static@1.0.0
GHSA-37ch-88jc-xwx2,path-to-regexp@0.0.1
GHSA-9wv6-86v2-598j,path-to-regexp@1.0.0
GHSA-9wv6-86v2-598j,path-to-regexp@0.0.1
GHSA-v633-x5vv-hqwc,serve-index@1.0.0
GHSA-46c4-8wrp-j99v,url-parse@1.0.0
GHSA-8v38-pw62-9cw2,url-parse@1.0.0
GHSA-9m6j-fcg5-2442,url-parse@1.0.0
GHSA-hgjh-723h-mx2j,url-parse@1.0.0
GHSA-265q-28rp-chq5,node-uuid@1.0.0
GHSA-hxcm-v35h-mg2x,querystringify@0.0.3
GHSA-c7qv-q95q-8v27,http-proxy-middleware@0.0.1
GHSA-wr3j-pwj9-hqq6,webpack-dev-middleware@1.0.0
GHSA-r5fr-rjxr-66jc,lodash@4.0.0
GHSA-r5fr-rjxr-66jc,lodash.template@4.0.0
GHSA-25mp-g6fv-mqxx,next@10.0.6
GHSA-3v7f-55p6-f55p,picomatch@2.0.0
GHSA-c2c7-rcm5-vvqj,picomatch@2.0.0
GHSA-mwcw-c2x4-8c55,nanoid@3.0.0
GHSA-qrpm-p2h7-hrv2,nanoid@3.0.0
GHSA-r96c-57pf-9jjm,node.extend@1.0.7
GHSA-54xq-cgqr-rpm3,sharp@0.0.1
GHSA-54xq-cgqr-rpm3,sharp@0.13.0
GHSA-f88m-g3jw-g9cj,sharp@0.0.1
GHSA-f88m-g3jw-g9cj,sharp@0.13.0
GHSA-gp95-ppv5-3jc5,sharp@0.0.1
GHSA-gp95-ppv5-3jc5,sharp@0.13.0
GHSA-r683-j2x4-v87g,node-fetch@2.0.0
GHSA-r683-j2x4-v87g,node-fetch@1.0.0
GHSA-w7rc-rwvf-8q5r,node-fetch@2.0.0
GHSA-968p-4wvh-cqc8,@babel/runtime@7.0.0
GHSA-9vrw-m88g-w75q,@hapi/accept@5.0.0
GHSA-c429-5p7v-vgjp,@hapi/hoek@8.2.2
GHSA-4wf5-vphf-c2xc,terser@4.0.0
GHSA-8w4h-3cm3-2pm2,atob@1.0.0
GHSA-3g43-6gmg-66jw,axios@0.22.0
GHSA-3p68-rc4w-qgx5,axios@0.22.0
GHSA-74fj-2j2h-c42q,follow-redirects@1.0.0
GHSA-cxjh-pqwp-8mfp,follow-redirects@1.0.0
GHSA-jchw-25xp-jwwc,follow-redirects@1.0.0
GHSA-pw2r-vq6v-hr8c,follow-redirects@1.0.0
GHSA-664h-wqgq-64gw,mongoose@4.8.2
GHSA-8687-vv9j-hgph,mongoose@4.8.2
GHSA-9m93-w8w6-76hh,mongoose@4.8.2
GHSA-f825-f98c-gj3g,mongoose@4.8.2
GHSA-4jwp-vfvf-657p,bson@1.0.0
GHSA-4jwp-vfvf-657p,bson@0.4.15
GHSA-8462-q7x7-g2x4,bson@1.0.0
GHSA-v8w9-2789-6hhr,bson@1.0.0
GHSA-v8w9-2789-6hhr,bson@0.4.15
GHSA-mh5c-679w-hh4r,mongodb@2.0.0
GHSA-h466-j336-74wx,mpath@0.0.1
GHSA-p92x-r36w-9395,mpath@0.0.1
GHSA-45q2-34rf-mr94,mquery@2.0.0
GHSA-m2mx-rfpw-jghv,kerberos@0.0.1
GHSA-25hc-qcg6-38wj,socket.io@0.9.10
GHSA-fxwf-4rqh-v8g3,socket.io@0.9.10
GHSA-268h-hp4c-crq3,nodemailer@0.6.1
GHSA-48ww-j4fc-435p,nodemailer@0.6.1
GHSA-9h6g-pr28-7cqp,nodemailer@0.6.1
GHSA-c7w3-x93f-qmm8,nodemailer@0.6.1
GHSA-8cj5-5rvv-wf4v,tar-fs@2.0.0
GHSA-pq67-2wwv-3xjx,tar-fs@2.0.0
GHSA-vj76-c3g6-qr5v,tar-fs@2.0.0
GHSA-3h5v-q93c-6h6q,ws@8.0.0
GHSA-58qx-3vcg-4xpx,ws@8.0.0
GHSA-5v72-xg48-5rpm,ws@1.1.4
GHSA-c6rq-rjc2-86v2,chownr@1.0.0
GHSA-pp7h-53gx-mx7r,bl@0.0.0
GHSA-pp7h-53gx-mx7r,bl@2.0.0
GHSA-wrw9-m778-g6mc,bl@0.0.0
GHSA-446m-mv8f-q348,moment@2.0.0
GHSA-87vv-r9j6-g5qv,moment@2.0.0
GHSA-8hfj-j24r-96c4,moment@2.0.0
GHSA-w5hq-g745-h8pq,uuid@3.0.0
GHSA-4gxf-g5gf-22h4,dottie@2.0.0
GHSA-9965-vmph-33xx,validator@8.0.0
GHSA-v923-w3x8-wh69,passport@0.1.11
GHSA-qwcr-r2fm-qrc7,body-parser@1.8.1
GHSA-qwcr-r2fm-qrc7,body-parser@1.0.0
GHSA-v422-hmwv-36x6,body-parser@1.8.1
GHSA-v422-hmwv-36x6,body-parser@1.0.0
GHSA-8cf7-32gw-wr33,jsonwebtoken@5.0.4
GHSA-8cf7-32gw-wr33,jsonwebtoken@8.0.0
GHSA-hjrf-2m68-5959,jsonwebtoken@5.0.4
GHSA-hjrf-2m68-5959,jsonwebtoken@8.0.0
GHSA-qwph-4952-7xr6,jsonwebtoken@5.0.4
GHSA-qwph-4952-7xr6,jsonwebtoken@8.0.0
GHSA-869p-cjfg-cm3x,jws@3.0.0
GHSA-rvg8-pwq2-xj7q,base64url@1.0.0
GHSA-rvg8-pwq2-xj7q,base64url@0.0.1
GHSA-pfrx-2q88-qq97,got@6.7.0
GHSA-pfrx-2q88-qq97,got@6.0.0
GHSA-gcx4-mw62-g8wm,rollup@1.8.0
GHSA-gcx4-mw62-g8wm,rollup@2.0.0
GHSA-mw96-cpmx-2vgc,rollup@1.8.0
GHSA-mw96-cpmx-2vgc,rollup@2.0.0
GHSA-257v-vj4p-3w2h,color-string@1.0.0
GHSA-257v-vj4p-3w2h,color-string@1.1.1
GHSA-ff7x-qrg7-qggm,dot-prop@4.0.0
GHSA-353f-5xf4-qw67,vite@2.8.0
GHSA-356w-63v5-8wf4,vite@2.8.0
GHSA-4r4m-qw57-chr8,vite@2.8.0
GHSA-4w7w-66w2-5vf9,vite@2.8.0
GHSA-67mh-4wv8-2f99,esbuild@0.0.0
GHSA-2328-f5f3-gj25,node-forge@0.1.2
GHSA-2r2c-g63r-vccr,node-forge@0.1.2
GHSA-554w-wpv2-vw27,node-forge@0.1.2
GHSA-5gfm-wpxj-wjgq,node-forge@0.1.2
GHSA-38h8-x697-gh8q,sync-exec@0.3.0
GHSA-2m96-9w4j-wgv7,lodash.merge@3.2.0
GHSA-h726-x36v-rx45,lodash.merge@3.2.0
GHSA-5v2h-r2cx-5xgj,marked@0.0.1
GHSA-7px7-7xjx-hxm8,marked@0.0.1
GHSA-4xcv-9jjx-gfj3,mem@1.0.0
GHSA-mgfv-m47x-4wqp,useragent@2.0.0
GHSA-pjmx-9xr3-82qr,useragent@2.0.0
GHSA-g36h-6r4f-3mqp,string@1.3.1
GHSA-xf7w-r453-m56c,fstream@0.0.0
GHSA-xf7w-r453-m56c,fstream@1.0.0
GHSA-4jv9-3563-23j3,knex@0.7.5
GHSA-58v4-qwx5-7f59,knex@0.7.5
GHSA-44fp-w29j-9vj5,multer@0.1.7
GHSA-5528-5vmv-3xc2,multer@0.1.7
GHSA-wm7h-9275-46v2,dicer@0.1.2
